,ROI,Behavior,Corr,p-value,nsamples,adjusted-p
442,Occipital_Sup_L,"VSA DAS_SA,rd_ABILITY_SCORE",-0.2870343187859518,0.033596640335966405,12,0.5093107710505544
358,Occipital_Mid_L,CBCL-externalizing_score,0.2865611591925165,0.3651634836516348,15,0.8764340957208628
754,Postcentral_R,CBCL-total_problems_score,0.2861369381469036,0.07999200079992001,15,0.6821136068211361
294,Thalamus_R,CBCL-social_prob_score,0.2860070879931258,0.1795820417958204,15,0.7745623132211273
2,Frontal_Sup_Orb_R,CBCL-anxious_score,-0.28537967202554293,0.5133486651334866,15,0.9129213660912389
528,Parietal_Inf_L,CBCL-attention_hyper_prob_score,-0.28534833758756,0.573942605739426,15,0.930343747234472
606,Parietal_Sup_R,CBCL-oppo_def_prob_score,-0.284675384675472,0.38336166383361664,15,0.8871178997802699
652,Frontal_Mid_L,"VSA DAS_SA,rd_ABILITY_SCORE",-0.2840443779652648,0.06819318068193181,12,0.6336208484414717
942,Frontal_Inf_Tri_L,Vineland-play_leisure_RAW_SCORE,-0.2840286409986905,0.07379262073792621,15,0.6580233696375586
1196,Frontal_Inf_Oper_R,CBCL-depressed_score,0.28344343083894163,0.09359064093590641,15,0.6906856484162904
1259,Angular_L,Vineland-written_RAW_SCORE,-0.28108911215426174,0.12258774122587741,15,0.7180871870971899
223,Temporal_Pole_Mid_R,CBCL-sluggish_cogn_tempo_score,0.2807836436894986,0.13058694130586943,15,0.735464915046957
6,Frontal_Sup_Orb_R,CBCL-depressed_score,0.28034568842540136,0.09379062093790622,15,0.6906856484162904
539,Parietal_Inf_L,CBCL-social_prob_score,0.27998588614063896,0.07279272072792721,15,0.6532680065326801
1063,Frontal_Inf_Orb_R,CBCL-sluggish_cogn_tempo_score,0.27920620748899583,0.09959004099590041,15,0.6906856484162904
1304,Frontal_Mid_R,CBCL-internalizing_score,0.27915182788376564,0.14558544145585442,15,0.7554153675541536
250,Frontal_Sup_R,CBCL-conduct_prob_score,0.27891596879178293,0.15558444155584442,15,0.7642744497480077
1046,Cerebelum_10_R,Vineland-personal_RAW_SCORE,0.2783508173361678,0.6235376462353764,15,0.9519658721150785
922,Frontal_Inf_Tri_L,CBCL-rule_break_behav_score,0.27827603267728757,0.098990100989901,15,0.6906856484162904
257,Frontal_Sup_R,CBCL-rule_break_behav_score,0.27827603267728757,0.16978302169783022,15,0.774501989053431
208,Frontal_Sup_Orb_L,Vineland-receptive_RAW_SCORE,0.2776984429288304,0.1987801219878012,15,0.7883630900366053
818,Cerebelum_4_5_R,CBCL-sluggish_cogn_tempo_score,0.27762877128849295,0.057394260573942604,15,0.6188854798730654
617,Parietal_Sup_R,"VSA DAS_SA,rd_ABILITY_SCORE",-0.2765695259135474,0.0051994800519948,12,0.41995800419958
1016,Cerebelum_10_R,CBCL-anx_prob_score,0.27568245681120884,0.1645835416458354,15,0.774501989053431
1045,Cerebelum_10_R,Vineland-inter_pers_rel_RAW_SCORE,0.2754053060416051,0.6443355664433557,15,0.9570381212669038
969,Cerebelum_8_R,"VSA DAS_SA,verbal_similarities_ABILITY_SCORE",0.27449158869605095,0.8753124687531247,12,0.9906701637528555
194,Frontal_Sup_Orb_L,CBCL-total_problems_score,-0.27433747678002096,0.270972902709729,15,0.8700475243955426
1061,Frontal_Inf_Orb_R,CBCL-oppo_def_prob_score,-0.27424225539417196,0.4313568643135686,15,0.8982752950862952
761,Postcentral_R,Vineland-community_RAW_SCORE,-0.27393255039432385,0.17998200179982002,15,0.7745623132211273
1186,Frontal_Inf_Oper_L,Vineland-personal_RAW_SCORE,0.27393255039432385,0.43015698430156984,15,0.8982752950862952
407,Occipital_Mid_R,"VSA DAS_SA,rd_ABILITY_SCORE",-0.2720846146825168,0.017198280171982803,12,0.43106800431068
978,Cerebelum_8_R,Vineland-receptive_RAW_SCORE,0.27031284604242534,0.6841315868413159,15,0.9679032096790321
1184,Frontal_Inf_Oper_L,Vineland-expressive_RAW_SCORE,0.270112540089729,0.4951504849515049,15,0.9027742387051617
416,Occipital_Mid_R,Vineland-personal_RAW_SCORE,-0.2680415278051986,0.24637536246375363,15,0.8515529865106398
